# started 2026-08-15T18:43:38Z on ip-172-31-9-237
# time load procs threads fd_used fd_max conntrack ct_max mem_avail_mb tcp_estab tcp_tw sshd
2026-08-15T19:07:38Z 3.82 201 344 1681 9223372036854775807 490 1048576 14703 82 196 3
2026-08-15T19:07:43Z 3.75 201 344 1679 9223372036854775807 493 1048576 14697 82 160 3
2026-08-15T19:07:48Z 3.85 179 318 1347 9223372036854775807 497 1048576 14712 1 194 1
2026-08-15T19:07:53Z 3.54 181 320 1383 9223372036854775807 499 1048576 14720 1 189 1
2026-08-15T19:07:58Z 3.58 200 343 1603 9223372036854775807 400 1048576 14706 81 157 1
2026-08-15T19:08:03Z 3.53 200 343 1603 9223372036854775807 401 1048576 14703 81 157 1
2026-08-15T19:08:08Z 3.25 181 331 1367 9223372036854775807 403 1048576 14718 1 160 1
2026-08-15T19:08:13Z 4.35 200 360 1587 9223372036854775807 486 1048576 14696 81 153 1
2026-08-15T19:08:18Z 5.44 200 360 1581 9223372036854775807 494 1048576 14694 82 153 1
2026-08-15T19:08:23Z 5.17 203 346 1683 9223372036854775807 536 1048576 14627 62 191 1
2026-08-15T19:08:28Z 4.75 203 346 1683 9223372036854775807 536 1048576 14626 62 190 1
2026-08-15T19:08:33Z 4.53 209 356 1786 9223372036854775807 559 1048576 14611 95 147 3
2026-08-15T19:08:38Z 4.49 206 353 1759 9223372036854775807 569 1048576 14612 94 149 1
2026-08-15T19:08:43Z 4.21 181 320 1382 9223372036854775807 571 1048576 14715 2 190 1
2026-08-15T19:08:48Z 4.03 200 343 1634 9223372036854775807 618 1048576 14700 82 189 1
2026-08-15T19:08:53Z 4.11 200 343 1632 9223372036854775807 618 1048576 14697 82 157 1
2026-08-15T19:08:58Z 3.78 181 320 1382 9223372036854775807 386 1048576 14719 2 189 1
2026-08-15T19:09:04Z 3.48 200 343 1602 9223372036854775807 435 1048576 14708 82 190 1
2026-08-15T19:09:09Z 3.76 200 343 1602 9223372036854775807 436 1048576 14704 82 154 1
2026-08-15T19:09:14Z 3.94 179 318 1346 9223372036854775807 436 1048576 14727 2 154 1
2026-08-15T19:09:19Z 3.62 200 358 1585 9223372036854775807 523 1048576 14700 81 187 1
2026-08-15T19:09:24Z 5.74 202 362 1610 9223372036854775807 525 1048576 14694 82 149 3
2026-08-15T19:09:29Z 6.64 181 320 1391 9223372036854775807 534 1048576 14711 2 185 3
2026-08-15T19:09:34Z 6.11 203 346 1686 9223372036854775807 576 1048576 14626 61 184 1
2026-08-15T19:09:39Z 5.62 206 353 1762 9223372036854775807 594 1048576 14622 93 182 1
2026-08-15T19:09:44Z 5.41 206 353 1762 9223372036854775807 594 1048576 14621 93 139 1
2026-08-15T19:09:49Z 5.22 203 346 1718 9223372036854775807 594 1048576 14620 61 143 1
2026-08-15T19:09:54Z 4.80 181 320 1383 9223372036854775807 597 1048576 14716 1 183 1
2026-08-15T19:09:59Z 4.73 200 343 1635 9223372036854775807 642 1048576 14705 81 184 1
2026-08-15T19:10:04Z 4.51 200 343 1635 9223372036854775807 414 1048576 14698 81 150 1
2026-08-15T19:10:09Z 4.15 181 320 1385 9223372036854775807 417 1048576 14728 1 183 1
2026-08-15T19:10:14Z 4.22 201 344 1605 9223372036854775807 466 1048576 14704 81 184 1
2026-08-15T19:10:19Z 4.28 202 345 1644 9223372036854775807 470 1048576 14692 82 151 3
2026-08-15T19:10:24Z 3.94 183 334 1405 9223372036854775807 481 1048576 14725 2 152 3
2026-08-15T19:10:29Z 3.62 199 358 1570 9223372036854775807 563 1048576 14703 78 184 1
2026-08-15T19:10:34Z 5.34 199 359 1570 9223372036854775807 563 1048576 14698 78 148 1
2026-08-15T19:10:39Z 6.99 179 318 1343 9223372036854775807 563 1048576 14730 1 183 1
2026-08-15T19:10:44Z 6.43 203 346 1683 9223372036854775807 605 1048576 14630 61 182 1
2026-08-15T19:10:49Z 5.92 206 353 1759 9223372036854775807 622 1048576 14623 93 183 1
2026-08-15T19:10:55Z 5.84 206 353 1758 9223372036854775807 622 1048576 14620 93 138 1
2026-08-15T19:11:00Z 5.69 179 318 1343 9223372036854775807 623 1048576 14738 1 180 1
2026-08-15T19:11:05Z 5.24 200 343 1633 9223372036854775807 422 1048576 14719 81 181 1
2026-08-15T19:11:10Z 4.98 200 343 1633 9223372036854775807 422 1048576 14712 81 148 1
2026-08-15T19:11:15Z 4.90 181 320 1372 9223372036854775807 428 1048576 14718 2 181 3
2026-08-15T19:11:20Z 4.51 182 321 1383 9223372036854775807 439 1048576 14721 1 182 1
2026-08-15T19:11:25Z 4.55 198 341 1590 9223372036854775807 490 1048576 14709 78 183 1
2026-08-15T19:11:30Z 4.34 198 341 1590 9223372036854775807 491 1048576 14703 78 117 1
2026-08-15T19:11:35Z 3.99 180 329 1365 9223372036854775807 494 1048576 14730 1 151 1
2026-08-15T19:11:40Z 4.96 199 358 1585 9223372036854775807 572 1048576 14658 81 146 1
2026-08-15T19:11:45Z 5.12 199 358 1585 9223372036854775807 572 1048576 14639 81 146 1
2026-08-15T19:11:50Z 4.71 202 345 1688 9223372036854775807 615 1048576 14597 61 181 1
